Location_ID,Country,Sim_location,Weather_file,Ashrae Climate Zone,NBC Climate,Same_City_Weather_file,,
L208,United States of America,Napa,CA_Napa_Co._Airport,Very Hot Humid,,,,
L209,United States of America,Needles,CA_Needles_Airport,Very Hot Humid,,,,
L210,United States of America,Oakland,CA_Oakland_Metropolitan_A,Very Hot Humid,,,,
L211,United States of America,Oxnard,CA_Oxnard_Airport,Very Hot Humid,,,,
L212,United States of America,Palm Springs,CA_Palm_Springs_Intl,Very Hot Humid,,,,
L213,United States of America,Thermal,CA_Palm_Springs_Thermal_A,Very Hot Humid,,,,
L214,United States of America,Palmdale,CA_Palmdale_Airport,Very Hot Humid,,,,
L215,United States of America,Paso Robles,CA_Paso_Robles_Municipal,Very Hot Humid,,,,
L216,United States of America,Point Mugu,CA_Point_Mugu_Nf,Very Hot Humid,,,,
L217,United States of America,Porterville,CA_Porterville_(AWOS),Very Hot Humid,,,,
L218,United States of America,Red Bluff,CA_Red_Bluff_Municipal_Ar,Very Hot Humid,,,,
L219,United States of America,Redding,CA_Redding_Municipal_Arpt,Very Hot Humid,,,,
L220,United States of America,Riverside,CA_Riverside_Muni,Very Hot Humid,,,,
L222,United States of America,Sacramento,CA_Sacramento_Metropolita,Very Hot Humid,,CA_Sacramento_Executive_A,,
L223,United States of America,Salinas,CA_Salinas_Municipal_AP,Very Hot Humid,,,,
L224,United States of America,San Diego ,CA_San_Diego_Lindbergh_Fi,Very Hot Humid,,,,
L225,United States of America,San Diego ,CA_San_Diego_Miramar_NAS,Very Hot Humid,,,,
L226,United States of America,San Diego ,CA_San_Diego_Montgomer,Very Hot Humid,,,,
L227,United States of America,San Diego ,CA_San_Diego_North_Island,Very Hot Humid,,,,
L228,United States of America,San Francisco,CA_San_Francisco_Intl_AP,Very Hot Humid,,,,
L229,United States of America,San Jose ,CA_San_Jose_Intl_AP,Very Hot Humid,,,,
L230,United States of America,San Luis,CA_San_Luis_Co_Rgnl,Very Hot Humid,,,,
L231,United States of America,Sandberg,CA_Sandberg,Very Hot Humid,,,,
L232,United States of America,Santa Ana ,CA_Santa_Ana_John_Wayne_A,Very Hot Humid,,,,
L233,United States of America,Santa Barbara ,CA_Santa_Barbara_Municipa,Very Hot Humid,,,,
L234,United States of America,Santa Maria ,CA_Santa_Maria_Public_Arp,Very Hot Humid,,,,
L235,United States of America,Santa Monica ,CA_Santa_Monica_Muni,Very Hot Humid,,,,
L236,United States of America,Santa Rosa,CA_Santa_Rosa_(AWOS),Very Hot Humid,,,,
L237,United States of America,South Lake Tahoe,CA_South_Lake_Tahoe,Very Hot Humid,,,,
L238,United States of America,Stockton,CA_Stockton_Metropolitan,Very Hot Humid,,,,
L239,United States of America,Travis,CA_Travis_Field_AFB,Very Hot Humid,,,,
L240,United States of America,Truckee,CA_Truckee-Tahoe,Very Hot Humid,,,,
L241,United States of America,Twentynine Palms,CA_Twentynine_Palms,Very Hot Humid,,,,
L242,United States of America,Ukiah,CA_Ukiah_Municipal_AP,Very Hot Humid,,,,
L243,United States of America,Van Nuys,CA_Van_Nuys_Airport,Very Hot Humid,,,,
L244,United States of America,Visalia Muni,CA_Visalia_Muni_(AWOS),Very Hot Humid,,,,
L245,United States of America,Yuba,CA_Yuba_Co,Very Hot Humid,,,,
L246,United States of America,Akron,CO_Akron_Washington_Co_Ap,Very Hot Humid,,,,
L247,United States of America,Alamosa,CO_Alamosa_San_Luis_Valle,Very Hot Humid,,,,
L248,United States of America,Aspen,CO_Aspen_Pitkin_Co_Sar,Very Hot Humid,,,,
L249,United States of America,Aurora,CO_Aurora_Buckley_Field_A,Very Hot Humid,,,,
L250,United States of America,Broomfield,CO_Broomfield_Jeffco,Very Hot Humid,,,,
L251,United States of America,Colorado Springs,CO_Colorado_Springs_Muni,Very Hot Humid,,,,
L252,United States of America,Cortez,CO_Cortez_Montezuma_Co,Very Hot Humid,,,,
L253,United States of America,Craig,CO_Craig-Moffat,Very Hot Humid,,,,
L254,United States of America,Centennial,CO_Denver_Centennial,Very Hot Humid,,,,
L255,United States of America,Denver,CO_Denver_Intl_AP,Very Hot Humid,,,,
L256,United States of America,Durango,CO_Durango_La_Plata_Co,Very Hot Humid,,,,
L257,United States of America,Eagle,CO_Eagle_County_AP,Very Hot Humid,,,,
L258,United States of America,Fort Collins,CO_Fort_Collins_(AWOS),Very Hot Humid,,,,
L259,United States of America,Grand Junction,CO_Grand_Junction_Walker,Very Hot Humid,,,,
L260,United States of America,Greeley,CO_Greeley_Weld_(AWOS),Very Hot Humid,,,,
L261,United States of America,Gunnison,CO_Gunnison_Co._(AWOS),Very Hot Humid,,,,
L262,United States of America,Hayden,CO_Hayden_Yampa_(AWOS),Very Hot Humid,,,,
L263,United States of America,La Junta,CO_La_Junta_Municipal_AP,Very Hot Humid,,,,
L264,United States of America,Lamar,CO_Lamar_Municipal,Very Hot Humid,,,,
L265,United States of America,Leadville,CO_Leadville_Lake_Co.,Very Hot Humid,,,,
L266,United States of America,Limon,CO_Limon,Very Hot Humid,,,,
L267,United States of America,Montrose,CO_Montrose_Co._Arpt,Very Hot Humid,,,,
L268,United States of America,Pueblo,CO_Pueblo_Memorial_AP,Very Hot Humid,,,,
L269,United States of America,Rifle,CO_Rifle_Garfield_Rgnl,Very Hot Humid,,,,
L270,United States of America,Trinidad,CO_Trinidad_Las_Animas_Co,Very Hot Humid,,,,
L271,United States of America,Bridgeport,CT_Bridgeport_Sikorsky_Me,Very Hot Humid,,,,
L272,United States of America,Danbury,CT_Danbury_Municipal,Very Hot Humid,,,,
L273,United States of America,Groton,CT_Groton_New_London_AP,Very Hot Humid,,,,
L274,United States of America,Hartford,CT_Hartford_Bradley_Intl,Very Hot Humid,,,,
L275,United States of America,Hartford,CT_Hartford_Brainard_Fd,Very Hot Humid,,,,
L276,United States of America,New Haven,CT_New_Haven_Tweed_Airpor,Very Hot Humid,,,,
L277,United States of America,Oxford,CT_Oxford_(AWOS),Very Hot Humid,,,,
L278,United States of America,Dover,DE_Dover_AFB,Very Hot Humid,,,,
L279,United States of America,Wilmington,DE_Wilmington_New_Castle,Very Hot Humid,,,,
L280,United States of America,Crestview,FL_Crestview_Bob_Sikes_Ap,Very Hot Humid,,,,
L281,United States of America,Daytona Beach,FL_Daytona_Beach_Intl_AP,Very Hot Humid,,,,
L282,United States of America,Fort Lauderdale,FL_Fort_Lauderdale,Very Hot Humid,,,,
L283,United States of America,Fort Lauderdale,FL_Fort_Lauderdale_Hollyw,Very Hot Humid,,,,
L284,United States of America,Fort Myers,FL_Fort_Myers_Page_Field,Very Hot Humid,,,,
L285,United States of America,Gainesville,FL_Gainesville_Regional_A,Very Hot Humid,,,,
L286,United States of America,Homestead,FL_Homestead_AFB,Very Hot Humid,,,,
L287,United States of America,Jacksonville,FL_Jacksonville_Craig,Very Hot Humid,,,,
L288,United States of America,Jacksonville,FL_Jacksonville_Intl_AP,Very Hot Humid,,,,
L289,United States of America,Jacksonville,FL_Jacksonville_NAS,Very Hot Humid,,,,
L290,United States of America,Key West,FL_Key_West_Intl_Arpt,Very Hot Humid,,FL_Key_West_NAS,,
L292,United States of America,Lakeland,FL_Lakeland_Linder_Rgn,Very Hot Humid,,,,
L293,United States of America,Tampa,FL_MacDill_AFB,Very Hot Humid,,,,
L294,United States of America,Marathon,FL_Marathon_Airport,Very Hot Humid,,,,
L295,United States of America,Jacksonville,FL_Mayport_Ns,Very Hot Humid,,,,
L296,United States of America,Melbourne,FL_Melbourne_Regional_AP,Very Hot Humid,,,,
L297,United States of America,Miami,FL_Miami_Intl_AP,Very Hot Humid,,,,
L298,United States of America,Miami,FL_Miami_Kendall-Tamia,Very Hot Humid,,,,
L299,United States of America,Miami,FL_Miami_Opa_Locka,Very Hot Humid,,,,
L300,United States of America,Naples,FL_Naples_Municipal,Very Hot Humid,,,,
L301,United States of America,Titusville,FL_Nasa_Shuttle_Fclty,Very Hot Humid,,,,
L302,United States of America,Ocala,FL_Ocala_Muni_(AWOS),Very Hot Humid,,,,
