Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
3T_2Space Polygon 3,"(0.0, 0.0)","(271.35, 0.0)","(256.35, 15.0)","(15.01, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 4,"(0.0, 0.0)","(54.8, 0.0)","(54.8, 8.85)","(52.5, 8.85)","(52.5, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3T_2Space Polygon 5,"(0.0, 0.0)","(8.85, 0.0)","(8.85, 54.75)","(-6.15, 39.75)","(-6.15, 1.8)","(0.0, 1.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3T_2Space Polygon 6,"(0.0, 0.0)","(271.3, 0.0)","(256.3, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 7,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 8,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 32.4)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 9,"(0.0, 0.0)","(9.85, 0.1)","(9.85, 32.4)","(0.0, 32.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 10,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.4)","(0.0, 32.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 11,"(0.0, 0.0)","(9.5, 0.0)","(9.5, -20.0)","(23.6, -20.0)","(23.6, 12.5)","(0.0, 12.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3T_2Space Polygon 12,"(0.0, 0.0)","(9.5, -0.1)","(9.5, 19.9)","(0.0, 19.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 13,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 14,"(0.0, 0.0)","(9.5, 0.0)","(9.5, 20.0)","(0.0, 20.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 15,"(0.0, 0.0)","(14.1, 0.0)","(14.1, 20.0)","(23.6, 20.0)","(23.6, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3T_2Space Polygon 16,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 17,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 43.15)","(0.65, 43.15)","(0.65, 31.85)","(-4.95, 31.85)","(-4.95, 23.3)","(0.0, 23.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
3T_2Space Polygon 18,"(0.0, 0.0)","(9.0, 0.0)","(9.0, 16.1)","(-2.3, 16.1)","(-2.3, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3T_2Space Polygon 19,"(0.0, 0.0)","(10.5, 0.0)","(10.5, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 20,"(0.0, 0.0)","(21.5, 0.0)","(23.3, 0.0)","(23.3, 15.45)","(0.0, 15.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3T_2Space Polygon 21,"(0.0, 0.0)","(2.15, 0.0)","(2.3, 16.1)","(-9.0, 16.1)","(-9.0, 0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3T_2Space Polygon 22,"(0.0, 0.0)","(9.75, 0.0)","(9.75, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 23,"(0.0, 0.0)","(21.5, 0.0)","(21.5, 15.4)","(-1.8, 15.4)","(-1.8, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3T_2Space Polygon 24,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 23.3)","(12.2, 23.3)","(12.2, 31.85)","(5.9, 31.85)","(5.9, 43.15)","(0.0, 43.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
3T_2Space Polygon 25,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Space Polygon 26,"(0.0, 0.0)","(120.8, 0.0)","(120.8, 24.75)","(111.95, 24.75)","(111.55, 37.95)","(105.0, 37.95)","(105.0, 44.05)","(84.65, 44.05)","(84.65, 74.55)","(105.0, 74.55)","(105.0, 81.1)","(120.85, 80.95)","(120.85, 118.6)","(120.84, 118.6)","(52.65, 118.6)","(52.65, 97.0)","(0.0, 97.0)","(0.75, 75.55)","(30.7, 75.55)","(54.3, 75.55)","(54.3, 43.05)","(40.2, 43.05)","(8.05, 43.05)","(0.0, 43.05)",,,,,,,,,,,24
3T_2Space Polygon 27,"(0.0, 0.0)","(104.8, 0.0)","(104.8, 21.6)","(0.0, 21.6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
